ticker,TFCFA UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-09-09,-1.8371
2011-09-12,1.6532
2011-09-13,-0.0617
2011-09-14,0.0618
2011-09-15,1.1111
2011-09-16,3.5409
2011-09-19,-0.4127
2011-09-20,-0.4144
2011-09-21,-4.132
2011-09-22,-3.2558
2011-09-23,3.2692
2011-09-26,1.4277
2011-09-27,0.8568
2011-09-28,-3.5194
2011-09-29,0.1887
2011-09-30,-2.8876
2011-10-03,-2.9735
2011-10-04,3.531
2011-10-05,2.8314
2011-10-06,-0.0626
2011-10-07,1.7532999999999999
2011-10-10,4.1846
2011-10-11,-0.7088
2011-10-12,1.7252
2011-10-13,0.117
2011-10-14,0.3505
2011-10-17,-1.7462
2011-10-18,0.8886
2011-10-19,-1.9378
2011-10-20,0.8982
2011-10-21,2.0772
2011-10-24,1.1337
2011-10-25,-2.9606
2011-10-26,0.0
2011-10-27,5.6872
2011-10-28,-0.2242
2011-10-31,-1.573
2011-11-01,-4.7374
2011-11-02,1.2582
2011-11-03,-0.1183
2011-11-04,-0.4739
2011-11-07,0.8929
2011-11-08,1.5929
2011-11-09,-4.5296
2011-11-10,2.3114
2011-11-11,2.0809
2011-11-14,-0.5242
2011-11-15,2.1663
2011-11-16,-3.7822
2011-11-17,-1.0721
2011-11-18,-1.7459
2011-11-21,-0.1838
2011-11-22,0.7366
2011-11-23,-2.3157
2011-11-25,-0.4367
2011-11-28,3.3835
2011-11-29,0.2424
2011-11-30,5.4414
2011-12-01,0.6881
2011-12-02,0.2278
2011-12-05,0.625
2011-12-06,0.847
2011-12-07,-0.9518
2011-12-08,-3.0526
2011-12-09,2.3907
2011-12-12,-0.6264
2011-12-13,-1.0888
2011-12-14,-0.6952
2011-12-15,-0.5251
2011-12-16,-0.4106
2011-12-19,-1.2955999999999999
2011-12-20,2.5656
2011-12-21,1.2216
2011-12-22,-0.2874
2011-12-23,1.5562
2011-12-27,0.7378
2011-12-28,-1.6901000000000002
2011-12-29,2.4069
2011-12-30,-0.1679
2012-01-03,2.8587
2012-01-04,-0.7084
2012-01-05,1.4819
2012-01-06,-1.0276
2012-01-09,0.3279
2012-01-10,1.5795
2012-01-11,0.8043
2012-01-12,0.4787
2012-01-13,-1.4823
2012-01-17,2.3106
2012-01-18,1.2605
2012-01-19,2.334
2012-01-20,-2.7369
2012-01-23,0.1042
2012-01-24,-0.6767
2012-01-25,-1.5723
2012-01-26,0.213
2012-01-27,0.3188
2012-01-30,1.1123
2012-01-31,-1.362
2012-02-01,2.0712
2012-02-02,-1.4567999999999999
2012-02-03,1.7951000000000001
2012-02-06,1.4523
2012-02-07,-0.3067
