ticker,STON US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-01-20,-0.1143
2016-01-21,-0.0381
2016-01-22,1.3354
2016-01-25,0.6777
2016-01-26,2.8796
2016-01-27,4.5075
2016-01-28,-0.1043
2016-01-29,2.2284
2016-02-01,0.1022
2016-02-02,-1.6332
2016-02-03,-1.4874
2016-02-04,-0.1438
2016-02-05,-2.4478
2016-02-08,-2.1771
2016-02-09,-1.1694
2016-02-10,-0.5344
2016-02-11,0.7291
2016-02-12,-0.4571
2016-02-16,0.2679
2016-02-17,1.2595
2016-02-18,1.6208
2016-02-19,0.6306
2016-02-22,1.0321
2016-02-23,-0.9121
2016-02-24,0.6996
2016-02-25,-1.1335
2016-02-26,-0.5178
2016-02-29,-0.6691
2016-03-01,-1.0105
2016-03-02,-0.9452
2016-03-03,-1.7176
2016-03-04,1.9029
2016-03-07,-1.5625
2016-03-08,0.1161
2016-03-09,0.1547
2016-03-10,-1.2741
2016-03-11,0.1955
2016-03-14,0.2342
2016-03-15,-0.7399
2016-03-16,0.51
2016-03-17,-0.6245
2016-03-18,-0.4713
2016-03-21,0.0395
2016-03-22,-2.0118
2016-03-23,-7.0853
2016-03-24,5.8059
2016-03-28,-2.457
2016-03-29,1.0076
2016-03-30,1.7456
2016-03-31,-0.3268
2016-04-01,-0.082
2016-04-04,0.3281
2016-04-05,-0.1635
2016-04-06,0.3276
2016-04-07,1.2652999999999999
2016-04-08,2.7811
2016-04-11,-1.2157
2016-04-12,-1.3497
2016-04-13,-0.3622
2016-04-14,-0.4443
2016-04-15,-4.0568
2016-04-18,0.0846
2016-04-19,0.845
2016-04-20,-1.0473
2016-04-21,-0.127
2016-04-22,0.4239
2016-04-25,2.1106
2016-04-26,-0.124
2016-04-27,1.2831000000000001
2016-04-28,-0.9808
2016-04-29,0.7016
2016-05-02,-0.123
2016-05-03,-0.4924
2016-05-04,-1.0309
2016-05-05,-0.2571
2016-05-06,-0.6014
2016-05-09,1.9447
2016-05-10,0.212
2016-05-11,-1.0152
2016-05-12,0.5128
2016-05-13,-0.2976
2016-05-16,-0.2132
2016-05-17,-0.4701
2016-05-18,0.4723
2016-05-19,-0.1709
2016-05-20,0.9846
2016-05-23,-0.1272
2016-05-24,0.0424
2016-05-25,0.1697
2016-05-26,-0.4235
2016-05-27,0.4679
2016-05-31,-0.0847
2016-06-01,1.6524999999999999
2016-06-02,1.2922
2016-06-03,0.6173
2016-06-06,1.3497
2016-06-07,0.2018
2016-06-08,0.8458
2016-06-09,-0.7588
2016-06-10,0.8451
2016-06-13,0.9976
2016-06-14,0.2371
2016-06-15,0.1577
2016-06-16,0.1968
2016-06-17,-2.7887
2016-06-20,0.4444
2016-06-21,-0.4425
2016-06-22,-1.4545
2016-06-23,1.271
2016-06-24,-0.4049
2016-06-27,-1.4634
2016-06-28,2.9290000000000003
2016-06-29,-0.1603
2016-06-30,0.562
2016-07-01,0.7186
2016-07-05,-0.2378
2016-07-06,1.033
2016-07-07,-1.0617
2016-07-08,0.8744
2016-07-11,0.8668
2016-07-12,0.5469
2016-07-13,-0.0389
2016-07-14,-0.4275
2016-07-15,0.5464
2016-07-18,1.514
2016-07-19,-0.5736
2016-07-20,-0.3462
2016-07-21,0.0
2016-07-22,1.2349999999999999
2016-07-25,-0.4575
2016-07-26,1.0341
2016-07-27,-0.0379
2016-07-28,0.3792
2016-07-29,-0.3778
2016-08-01,0.1896
2016-08-02,-0.1893
2016-08-03,-1.3652
2016-08-04,-1.1834
2016-08-05,-3.4731
2016-08-08,-1.1166
2016-08-09,0.5019
2016-08-10,0.0
2016-08-11,1.2068
2016-08-12,0.4523
2016-08-15,-1.1461000000000001
2016-08-16,0.8696
2016-08-17,-0.0821
2016-08-18,-0.2054
2016-08-19,-0.247
2016-08-22,1.1969
2016-08-23,0.8564
2016-08-24,-0.3639
2016-08-25,-0.0812
2016-08-26,0.6093
2016-08-29,0.7267
2016-08-30,-1.1623
2016-08-31,0.1622
2016-09-01,0.1215
2016-09-02,1.2535
2016-09-06,0.3994
2016-09-07,1.1933
2016-09-08,-0.3931
2016-09-09,-1.3812
2016-09-12,-1.2805
2016-09-13,-0.6486
2016-09-14,0.204
2016-09-15,1.7915
2016-09-16,-0.28
2016-09-19,0.6017
2016-09-20,1.4753
2016-09-21,-0.7466
2016-09-22,0.0792
2016-09-23,-1.1076
2016-09-26,-0.36
2016-09-27,0.5219
2016-09-28,-0.3594
2016-09-29,-0.2004
2016-09-30,0.5622
2016-10-03,-0.599
2016-10-04,0.4018
2016-10-05,-1.4006
2016-10-06,0.6494
2016-10-07,-0.4435
2016-10-10,0.243
2016-10-11,-0.4848
2016-10-12,-0.2842
2016-10-13,0.0814
2016-10-14,1.1798
2016-10-17,-0.764
2016-10-18,0.4052
2016-10-19,1.2107
2016-10-20,-1.0367
2016-10-21,0.6849
2016-10-24,-0.8403
2016-10-25,0.4439
2016-10-26,0.9642
2016-10-27,-1.2336
2016-10-28,-44.6414
2016-10-31,-4.2213
2016-11-01,-5.9271
2016-11-02,-19.3053
2016-11-03,-3.5035
2016-11-04,-2.4705
2016-11-07,-8.7004
2016-11-08,8.9264
2016-11-09,-5.0941
2016-11-10,9.2182
2016-11-11,7.906
2016-11-14,1.1881
2016-11-15,-1.4677
2016-11-16,-6.3555
2016-11-17,6.4687
2016-11-18,3.9840999999999998
2016-11-21,-1.1494
2016-11-22,-1.938
2016-11-23,0.4941
2016-11-25,-0.0983
2016-11-28,-0.7874
2016-11-29,-1.0913
2016-11-30,-3.6108000000000002
2016-12-01,-9.1571
2016-12-02,1.4891
2016-12-05,-2.1445
2016-12-06,-3.6909
2016-12-07,2.515
2016-12-08,1.6355
2016-12-09,1.8391
2016-12-12,-6.8849
2016-12-13,0.8485
2016-12-14,-2.6442
2016-12-15,-3.3333
2016-12-16,7.5351
2016-12-19,3.3254
