ticker,QTNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-08-07,-1.9582000000000002
2018-08-08,-0.6658
2018-08-09,2.9491
2018-08-10,0.3906
2018-08-13,-5.4475
2018-08-14,1.2346
2018-08-15,-2.3035
2018-08-16,1.6644
2018-08-17,-2.1828
2018-08-20,1.2551999999999999
2018-08-21,3.0303
2018-08-22,0.8021
2018-08-23,0.2653
2018-08-24,1.7196
2018-08-27,2.3407
2018-08-28,-1.9060000000000001
2018-08-29,1.6839
2018-08-30,-4.2038
2018-08-31,1.7287
2018-09-04,-0.5229
2018-09-05,-1.3141
2018-09-06,-4.1278
2018-09-07,-1.3889
2018-09-10,0.5634
2018-09-11,-0.1401
2018-09-12,-0.561
2018-09-13,-2.9619
2018-09-14,3.9244
2018-09-17,-2.2378
2018-09-18,-3.1474
2018-09-19,-2.9542
2018-09-20,2.5875
2018-09-21,-1.1869
2018-09-24,2.7027
2018-09-25,5.7018
2018-09-26,-2.213
2018-09-27,6.082
2018-09-28,0.6667
2018-10-01,-4.3709
2018-10-02,-5.1247
2018-10-03,-0.5839
2018-10-04,-6.3142
2018-10-05,2.1944
2018-10-08,-1.6871
2018-10-09,-1.248
2018-10-10,-3.9494
2018-10-11,-2.9605
2018-10-12,14.2373
2018-10-15,-5.1929
2018-10-16,8.4507
2018-10-17,-1.2987
2018-10-18,0.1462
2018-10-19,-5.4015
2018-10-22,-2.4691
2018-10-23,-0.1582
2018-10-24,-5.3883
2018-10-25,2.8476
2018-10-26,-1.9544000000000001
2018-10-29,-3.4884
2018-10-30,3.4423
2018-10-31,6.6556
2018-11-01,-0.468
2018-11-02,1.8809
2018-11-05,-2.3846
2018-11-06,1.182
2018-11-07,5.296
2018-11-08,-1.3314
2018-11-09,-2.5487
2018-11-12,-6.0
2018-11-13,1.4729999999999999
2018-11-14,-4.8387
2018-11-15,8.3051
2018-11-16,7.6682
2018-11-19,1.7442
2018-11-20,-8.2857
2018-11-21,0.1558
2018-11-23,4.9767
2018-11-26,-3.2593
2018-11-27,-3.0628
2018-11-28,10.2686
2018-11-29,7.1633
2018-11-30,5.4813
2018-12-03,-3.4221
2018-12-04,-9.3176
2018-12-06,0.8683
2018-12-07,-4.7346
2018-12-10,-1.506
2018-12-11,4.2813
2018-12-12,1.3195999999999999
2018-12-13,7.8148
2018-12-14,-3.3557
2018-12-17,-0.8333
2018-12-18,-1.8207
2018-12-19,-4.4223
2018-12-20,-8.209
2018-12-21,-2.1138
2018-12-24,-2.8239
2018-12-26,2.906
2018-12-27,5.1495
2018-12-28,-4.8972999999999995
2018-12-31,1.6611
2019-01-02,2.1242
2019-01-03,-4.0
2019-01-04,5.0
2019-01-07,4.2857
2019-01-08,3.9574
2019-01-09,-0.5857
2019-01-10,0.2946
2019-01-11,5.8737
2019-01-14,0.0
2019-01-15,2.9126
2019-01-16,1.4825
2019-01-17,-2.3904
2019-01-18,0.9524
2019-01-22,-0.1348
2019-01-23,2.4291
2019-01-24,3.1621
2019-01-25,5.2363
2019-01-28,-0.8495
2019-01-29,0.3672
2019-01-30,-2.561
2019-01-31,12.1402
2019-02-01,6.0268
2019-02-04,2.6316
2019-02-05,-2.359
2019-02-06,-3.8866
2019-02-07,0.765
2019-02-08,1.3014999999999999
2019-02-11,1.6059999999999999
2019-02-12,-0.843
2019-02-13,-0.1063
2019-02-14,6.7021
2019-02-15,-3.0907
2019-02-19,1.1317
2019-02-20,0.1017
2019-02-21,3.5568999999999997
2019-02-22,1.2758
2019-02-25,-1.1628
2019-02-26,2.549
2019-02-27,5.8317
2019-02-28,-4.5167
2019-03-01,3.4059
2019-03-04,-3.9341
2019-03-05,-3.6189999999999998
2019-03-06,-7.6087
2019-03-07,-1.7112
2019-03-08,-1.741
2019-03-11,-0.6645
2019-03-12,5.6856
2019-03-13,0.1055
2019-03-14,0.843
2019-03-15,-0.1045
2019-03-18,-1.4644
2019-03-19,-2.3355
2019-03-20,-3.4783
2019-03-21,3.1532
2019-03-22,-6.6594
2019-03-25,1.4035
2019-03-26,2.4221
2019-03-27,-1.1261
2019-03-28,2.0501
2019-03-29,0.558
2019-04-01,0.9989
2019-04-02,1.978
2019-04-03,-3.125
2019-04-04,-1.7798
2019-04-05,1.359
2019-04-08,0.3352
2019-04-09,0.0
2019-04-10,-0.4454
2019-04-11,0.0
2019-04-12,0.3356
2019-04-15,0.1115
2019-04-16,-1.0022
2019-04-17,-5.9618
2019-04-18,-1.9139
2019-04-22,-0.8537
2019-04-23,-0.123
2019-04-24,-2.5862
2019-04-25,4.5512
2019-04-26,-1.3301
2019-04-29,3.799
2019-04-30,-1.0626
2019-05-01,-4.5346
2019-05-02,12.125
2019-05-03,3.1215
2019-05-06,0.4324
2019-05-07,-4.1981
