ticker,AXGT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-01,13.6095
2018-06-04,-9.375
2018-06-05,0.5747
2018-06-06,160.0
2018-06-07,5.4945
2018-06-08,0.0
2018-06-11,4.375
2018-06-12,-18.1637
2018-06-13,-0.4878
2018-06-14,-8.3333
2018-06-15,1.3369
2018-06-18,-9.7625
2018-06-19,-15.2047
2018-06-20,-2.7586
2018-06-21,-5.3191
2018-06-22,-9.7378
2018-06-25,6.639
2018-06-26,-9.7276
2018-06-27,0.8621
2018-06-28,-3.8462
2018-06-29,0.4444
2018-07-02,4.8673
2018-07-03,13.0802
2018-07-05,-3.7313
2018-07-06,-0.7752
2018-07-09,3.125
2018-07-10,-6.0606
2018-07-11,6.0484
2018-07-12,-4.943
2018-07-13,6.8
2018-07-16,-7.8652
2018-07-17,0.4065
2018-07-18,-2.834
2018-07-19,7.0833
2018-07-20,-4.2802
2018-07-23,-0.813
2018-07-24,-1.2295
2018-07-25,-1.2448
2018-07-26,-2.9412000000000003
2018-07-27,-5.6277
2018-07-30,-5.9633
2018-07-31,3.9024
2018-08-01,-1.4085
2018-08-02,1.9048
2018-08-03,-2.3364
2018-08-06,0.4785
2018-08-07,-0.9524
2018-08-08,0.9615
2018-08-09,-2.8571
2018-08-10,1.4706000000000001
2018-08-13,0.0
2018-08-14,1.4493
2018-08-15,-3.8095
2018-08-16,1.4851
2018-08-17,0.0
2018-08-20,-1.9512
2018-08-21,14.4279
2018-08-22,0.4348
2018-08-23,0.4329
2018-08-24,-0.8621
2018-08-27,-2.1739
2018-08-28,-0.4444
2018-08-29,8.0357
2018-08-30,1.6529
2018-08-31,1.626
2018-09-04,-3.2
2018-09-05,1.2397
2018-09-06,-5.3061
2018-09-07,-4.7414
2018-09-10,-4.9774
2018-09-11,-3.3333
2018-09-12,1.9704000000000002
2018-09-13,-3.8647
2018-09-14,3.5176
2018-09-17,-6.3107
2018-09-18,8.2902
2018-09-19,0.0
2018-09-20,0.9569
2018-09-21,8.0569
2018-09-24,-2.6316
2018-09-25,5.4054
2018-09-26,3.4188
2018-09-27,-6.6116
2018-09-28,7.0796
2018-10-01,-5.7851
2018-10-02,1.7544
2018-10-03,-1.7241
2018-10-04,-7.8947
2018-10-05,-0.9524
2018-10-08,-1.9231
2018-10-09,7.8431
2018-10-10,-5.0
2018-10-11,2.8708
2018-10-12,8.8372
2018-10-15,1.2821
2018-10-16,2.9536
2018-10-17,3.6885
2018-10-18,-7.5099
2018-10-19,-7.6923
2018-10-22,-2.3148
2018-10-23,-0.4739
2018-10-24,-5.7143
2018-10-25,2.0202
2018-10-26,1.4851
2018-10-29,-5.8537
2018-10-30,-0.5181
2018-10-31,-2.6042
2018-11-01,12.2995
2018-11-02,-0.9524
2018-11-05,-2.8846
2018-11-06,0.495
2018-11-07,0.9852
2018-11-08,4.3902
2018-11-09,-2.8037
2018-11-12,-6.25
2018-11-13,0.0
2018-11-14,-2.5641
2018-11-15,1.0526
2018-11-16,4.1667
2018-11-19,-5.5
2018-11-20,-5.291
2018-11-21,8.9385
2018-11-23,-6.6667
2018-11-26,5.4945
2018-11-27,-5.7292
2018-11-28,2.7624
2018-11-29,-2.1505
2018-11-30,-0.5495
2018-12-03,-1.6575
2018-12-04,-7.3034
2018-12-06,7.2727
2018-12-07,-3.3898
2018-12-10,-27.4854
2018-12-11,0.0
2018-12-12,-2.4194
2018-12-13,-6.6116
2018-12-14,-10.6195
2018-12-17,13.8614
2018-12-18,-7.8261
2018-12-19,0.9434
2018-12-20,-1.8692
2018-12-21,-5.6095
2018-12-24,-5.1559
2018-12-26,3.7234
2018-12-27,2.0923
2018-12-28,-0.0502
2018-12-31,0.1106
2019-01-02,8.9357
2019-01-03,-3.2258
2019-01-04,2.8571
2019-01-07,3.7037
2019-01-08,-4.4643
2019-01-09,6.5421
2019-01-10,0.8772
2019-01-11,-3.4783
2019-01-14,-5.4054
2019-01-15,2.8571
2019-01-16,1.8519
2019-01-17,-7.2727
2019-01-18,-0.9804
2019-01-22,-4.9505
2019-01-23,0.0
2019-01-24,0.5208
2019-01-25,5.6995000000000005
2019-01-28,-2.2157
2019-01-29,1.2633
2019-01-30,1.9802
2019-01-31,1.9417
2019-02-01,5.7143
2019-02-04,4.5045
2019-02-05,0.8621
2019-02-06,15.3846
2019-02-07,-9.6296
2019-02-08,2.459
2019-02-11,4.0
2019-02-12,-0.7692
2019-02-13,-5.4264
2019-02-14,-4.918
2019-02-15,2.5862
2019-02-19,0.8403
2019-02-20,-1.6667
2019-02-21,0.8475
2019-02-22,9.2437
2019-02-25,3.0769
2019-02-26,-0.7463
2019-02-27,3.7594
2019-02-28,-3.6231999999999998
2019-03-01,0.7519
2019-03-04,4.4776
2019-03-05,-2.1429
2019-03-06,-3.6496
2019-03-07,6.8182
2019-03-08,4.9645
