ticker,DAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-02-17,-1.6949
2010-02-18,1.2315
2010-02-19,0.0
2010-02-22,-0.2433
2010-02-23,-1.2195
2010-02-24,-1.2346
2010-02-25,0.75
2010-02-26,0.0
2010-03-01,2.4814
2010-03-02,-0.4812
2010-03-03,1.4567999999999999
2010-03-04,2.1583
2010-03-05,-0.2347
2010-03-08,3.5294
2010-03-09,2.5
2010-03-10,5.3215
2010-03-11,-3.1579
2010-03-12,-1.7391
2010-03-15,-2.4336
2010-03-16,3.8548999999999998
2010-03-17,1.0917
2010-03-18,-1.5119
2010-03-19,7.4561
2010-03-22,-4.2857
2010-03-23,0.6397
2010-03-24,-0.4237
2010-03-25,-4.2553
2010-03-26,0.0
2010-03-29,2.2222
2010-03-30,-5.8696
2010-03-31,-2.5404
2010-04-01,4.2654
2010-04-05,4.0909
2010-04-06,0.8734
2010-04-07,0.8658
2010-04-08,3.0043
2010-04-09,-1.4583
2010-04-12,0.0
2010-04-13,6.5539
2010-04-14,-0.1984
2010-04-15,0.3976
2010-04-16,-0.0099
2010-04-19,-1.1783
2010-04-20,3.8076
2010-04-21,0.3861
2010-04-22,-1.9231
2010-04-23,0.0
2010-04-26,-0.7843
2010-04-27,-0.5929
2010-04-28,0.3976
2010-04-29,0.198
2010-04-30,-0.1976
2010-05-03,0.0
2010-05-04,-3.1683
2010-05-05,-2.863
2010-05-06,-3.1605
2010-05-07,-7.1714
2010-05-10,7.9625
2010-05-11,-0.2169
2010-05-12,-4.3478
2010-05-13,3.6364
2010-05-14,-2.6905
2010-05-17,-4.2213
2010-05-18,-0.4706
2010-05-19,-5.2009
2010-05-20,-6.2344
2010-05-21,6.117
2010-05-24,-1.5038
2010-05-25,-2.2774
2010-05-26,-0.013
2010-05-27,4.9479
2010-05-28,0.2481
2010-06-01,-3.4653
2010-06-02,2.5641
2010-06-03,0.25
2010-06-04,-0.7481
2010-06-07,-3.0151
2010-06-08,-5.9585
2010-06-09,2.7548
2010-06-10,4.2895
2010-06-11,0.4467
2010-06-14,-0.1887
2010-06-15,2.5673
2010-06-16,1.2468
2010-06-17,-2.716
2010-06-18,2.2843
2010-06-21,0.4963
2010-06-22,-0.2469
2010-06-23,-2.9703
2010-06-24,-2.8061
2010-06-25,0.7874
2010-06-28,0.2604
2010-06-29,-2.5974
2010-06-30,1.6
2010-07-01,-6.0367
2010-07-02,4.4693
2010-07-06,-0.2674
2010-07-07,-0.2681
2010-07-08,4.5699
2010-07-09,1.7995
2010-07-12,0.2525
2010-07-13,-0.5038
2010-07-14,-2.5316
2010-07-15,-1.5584
2010-07-16,-0.2639
2010-07-19,-1.5873
2010-07-20,0.0
2010-07-21,-1.0753
2010-07-22,1.6303999999999998
2010-07-23,3.4759
2010-07-26,3.6176
2010-07-27,6.2344
2010-07-28,-0.7042
2010-07-29,0.4728
2010-07-30,-2.1176
2010-08-02,-0.9615
2010-08-03,3.1553
2010-08-04,0.2353
2010-08-05,1.8779
2010-08-06,-1.8433000000000002
2010-08-09,1.4085
