ticker,ALDX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-01-20,8.4906
2017-01-23,-3.4783
2017-01-24,2.7027
2017-01-25,-0.8772
2017-01-26,0.885
2017-01-27,3.5088
2017-01-30,-5.0847
2017-01-31,-2.6786
2017-02-01,-1.8349
2017-02-02,0.0
2017-02-03,-6.5421
2017-02-06,-4.0
2017-02-07,4.1667
2017-02-08,-3.0
2017-02-09,-3.0928
2017-02-10,0.0
2017-02-13,0.8511
2017-02-14,-5.0633
2017-02-15,7.7778
2017-02-16,2.0619
2017-02-17,3.0303
2017-02-21,-0.9804
2017-02-22,-0.9901
2017-02-23,1.0
2017-02-24,-2.9703
2017-02-27,1.0204
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,3.0303
2017-03-03,0.0
2017-03-06,-1.9607999999999999
2017-03-07,-2.0
2017-03-08,3.0612
2017-03-09,2.9703
2017-03-10,0.9615
2017-03-13,0.9524
2017-03-14,-1.8868
2017-03-15,2.8846
2017-03-16,-3.7382999999999997
2017-03-17,2.9126
2017-03-20,-0.9434
2017-03-21,-5.7143
2017-03-22,1.0101
2017-03-23,-1.09
2017-03-24,2.113
2017-03-27,0.0
2017-03-28,-0.9901
2017-03-29,3.0
2017-03-30,-1.9417
2017-03-31,-0.9901
2017-04-03,5.0
2017-04-04,-0.9524
2017-04-05,-4.8077
2017-04-06,1.0101
2017-04-07,2.0
2017-04-10,-3.9215999999999998
2017-04-11,0.0
2017-04-12,2.0408
2017-04-13,-3.2963
2017-04-17,0.3063
2017-04-18,-1.0309
2017-04-19,8.3333
2017-04-20,-16.3462
2017-04-21,1.1494
2017-04-24,-6.8182
2017-04-25,4.878
2017-04-26,2.3256
2017-04-27,-1.1364
2017-04-28,0.0
2017-05-01,0.0
2017-05-02,-4.5977
2017-05-03,-0.6024
2017-05-04,-1.8182
2017-05-05,-2.4691
2017-05-08,0.0
2017-05-09,2.5316
2017-05-10,1.2346
2017-05-11,-2.439
2017-05-12,-1.25
2017-05-15,5.0633
2017-05-16,2.4096
2017-05-17,4.7059
2017-05-18,-1.1236
2017-05-19,1.1364
2017-05-22,-2.2472
2017-05-23,5.7471
2017-05-24,0.5435
2017-05-25,2.7027
2017-05-26,0.0
2017-05-30,3.1579
2017-05-31,3.0612
2017-06-01,4.9505
2017-06-02,2.8302
2017-06-05,-4.5872
2017-06-06,0.9615
2017-06-07,0.0
2017-06-08,-1.9048
2017-06-09,-1.9417
2017-06-12,0.0
2017-06-13,0.9901
2017-06-14,-8.8235
2017-06-15,-10.7527
2017-06-16,3.6145
2017-06-19,3.4884
2017-06-20,-4.4944
2017-06-21,-1.1764999999999999
2017-06-22,1.1905000000000001
2017-06-23,3.5294
2017-06-26,1.1364
2017-06-27,0.0
2017-06-28,1.1236
2017-06-29,1.1111
2017-06-30,2.1978
2017-07-03,1.0753
2017-07-05,0.0
2017-07-06,0.0
2017-07-07,4.2553
2017-07-10,0.0
2017-07-11,-1.0204
2017-07-12,1.0309
2017-07-13,2.0408
