ticker,RACE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-12-10,0.0858
2018-12-11,0.0286
2018-12-12,0.4383
2018-12-13,-1.2521
2018-12-14,-2.5072
2018-12-17,-1.5272000000000001
2018-12-18,0.8605
2018-12-19,1.6171
2018-12-20,-0.8884
2018-12-21,-3.3097
2018-12-24,-2.2412
2018-12-26,2.4281
2018-12-27,1.4854
2018-12-28,-1.3534
2018-12-31,1.0569
2019-01-02,-0.7442
2019-01-03,-1.7427000000000001
2019-01-04,5.4135
2019-01-07,2.2009
2019-01-08,3.9242
2019-01-09,2.4038
2019-01-10,-0.3597
2019-01-11,0.0451
2019-01-14,0.0361
2019-01-15,1.3437999999999999
2019-01-16,0.6763
2019-01-17,0.5127
2019-01-18,-0.3694
2019-01-22,-1.4123
2019-01-23,-1.334
2019-01-24,1.9872999999999998
2019-01-25,-1.0232
2019-01-28,-0.7371
2019-01-29,0.1177
2019-01-30,1.9358
2019-01-31,12.0774
2019-02-01,0.6572
2019-02-04,0.0708
2019-02-05,0.0472
2019-02-06,-0.2514
2019-02-07,-1.8667
2019-02-08,-0.2488
2019-02-11,-0.6276
2019-02-12,2.3806
2019-02-13,-0.9412
2019-02-14,-0.1517
2019-02-15,0.7356
2019-02-19,0.3096
2019-02-20,-0.4748
2019-02-21,0.4214
2019-02-22,-0.2138
2019-02-25,1.5949
2019-02-26,0.7888
2019-02-27,-0.2945
2019-02-28,-0.3186
2019-03-01,2.76
2019-03-04,-0.7587
2019-03-05,0.7339
2019-03-06,-1.2523
2019-03-07,-1.3758
2019-03-08,0.4364
2019-03-11,1.4586999999999999
2019-03-12,-0.4359
2019-03-13,-0.1075
2019-03-14,0.8766
2019-03-15,0.4497
2019-03-18,0.3794
2019-03-19,-0.5065
2019-03-20,0.1064
2019-03-21,0.4858
2019-03-22,-2.825
2019-03-25,1.9199000000000002
2019-03-26,1.4033
2019-03-27,-0.1354
2019-03-28,0.2033
2019-03-29,0.5637
2019-04-01,0.9342
2019-04-02,0.6812
2019-04-03,0.1544
2019-04-04,0.213
2019-04-05,0.3444
2019-04-08,0.1387
2019-04-09,-0.5032
2019-04-10,0.0513
2019-04-11,0.5494
2019-04-12,0.9544
2019-04-15,-1.1114
2019-04-16,0.7736
2019-04-17,-0.2897
2019-04-18,1.6122999999999998
2019-04-22,-0.1858
2019-04-23,0.333
2019-04-24,-1.7847
2019-04-25,-0.6741
2019-04-26,-0.118
2019-04-29,0.0886
