ticker,GBGD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-09-26,25.7895
2011-09-27,-16.318
2011-09-30,0.0
2011-10-05,0.0
2011-10-06,-25.0
2011-10-12,30.0
2011-10-17,2.5641
2011-10-18,-5.0
2011-10-19,5.2632
2011-10-20,-5.0
2011-10-21,-5.2632
2011-10-24,11.1111
2011-10-25,-25.0
2011-10-27,13.3333
2011-10-28,0.0
2011-10-31,0.0
2011-11-02,0.0
2011-11-04,17.647100000000002
2011-11-07,-29.5
2011-11-08,20.5674
2011-11-10,-5.8824
2011-11-11,12.5
2011-11-14,5.5556
2011-11-16,-5.2632
2011-11-18,5.5556
2011-11-22,-2.6316
2011-11-30,-8.6486
2011-12-01,-0.5917
2011-12-02,-10.7143
2011-12-06,0.0
2011-12-12,-16.0
2011-12-13,-4.7619
2011-12-14,15.8333
2011-12-15,-13.6691
2011-12-19,45.8333
2011-12-22,-11.4286
2011-12-23,-3.871
2011-12-27,0.0
2011-12-28,-19.4631
2011-12-29,45.8333
2011-12-30,-14.2857
2012-01-05,-6.6667
2012-01-09,21.4286
2012-01-10,7.6471
2012-01-12,-1.6393
2012-01-18,-16.6667
2012-01-20,6.6667
2012-01-23,0.0
2012-01-24,0.0
2012-01-25,17.5
2012-01-30,-9.5745
2012-02-01,-5.8824
2012-02-02,0.0
2012-02-03,6.25
2012-02-06,-23.5294
2012-02-07,-7.6923
2012-02-08,25.0
2012-02-09,9.3333
2012-02-13,-25.6098
2012-02-16,22.9508
2012-02-17,9.9167
2012-02-21,9.0978
2012-02-22,5.5594
2012-02-23,0.0658
2012-02-27,4.7368
2012-02-28,-4.5226
2012-02-29,0.0
2012-03-01,-15.7895
2012-03-02,18.75
2012-03-05,1.0526
2012-03-06,0.0
2012-03-07,-6.25
2012-03-12,0.0
2012-03-13,16.3889
2012-03-14,-0.2387
2012-03-15,-13.8756
2012-03-20,11.1111
2012-03-26,0.0
2012-03-27,0.0
2012-03-29,0.0
2012-03-30,7.5
2012-04-02,0.9302
2012-04-03,1.3825
2012-04-04,-4.5455
2012-04-05,9.5238
2012-04-09,-13.0435
2012-04-11,-0.0625
2012-04-13,0.0
2012-04-16,-3.4396
2012-04-17,-5.6995000000000005
2012-04-18,9.8901
2012-04-19,0.0
2012-04-20,0.0
2012-04-24,-0.3125
2012-04-25,-4.7022
2012-04-26,-4.2105
2012-05-01,-1.0989
2012-05-02,5.5556
2012-05-03,13.1579
2012-05-07,0.0
2012-05-08,-25.5814
2012-05-09,25.0
2012-05-11,5.0
2012-05-18,0.0
2012-05-25,-23.3333
2012-05-29,0.6211
2012-05-30,29.6296
2012-06-14,-19.0476
2012-06-15,0.0
2012-06-20,11.7647
2012-06-22,0.0
2012-06-26,-21.0526
2012-06-28,-6.0
2012-06-29,34.7518
2012-07-18,0.0
2012-07-19,-25.0
2012-07-24,24.9123
2012-07-25,-15.7303
2012-08-06,3.3333
2012-08-10,0.0
2012-08-16,-3.2258
2012-08-21,10.0
2012-08-22,-9.0909
2012-08-23,8.6667
2012-08-24,1.227
2012-08-30,-26.4773
2012-08-31,31.8908
