ticker,CESX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-05-07,26.5385
2018-05-14,-8.8146
2018-05-15,-13.3333
2018-05-30,0.0
2018-06-04,3.8462
2018-06-05,0.0
2018-06-06,0.0
2018-06-20,0.0
2018-07-05,7.4074
2018-07-11,0.0
2018-08-02,30.6897
2018-08-03,-26.1214
2018-08-10,0.0
2018-08-14,0.0
2018-08-24,0.0
2018-08-30,-3.5714
2018-08-31,3.7037
2018-09-05,0.0
2018-09-06,-3.5714
2018-10-01,0.0
2018-10-02,0.0
2018-10-03,-11.1111
2018-10-08,104.1667
2018-10-10,0.0
2018-10-16,-34.6939
2018-10-18,0.0
2018-11-05,0.0
2018-11-13,0.0
2018-11-20,55.9375
2018-12-07,-33.8677
2018-12-18,0.0
2018-12-21,3.0303
2018-12-28,-0.8824
2018-12-31,-2.0772
2019-01-04,0.0
2019-01-07,0.0
2019-01-08,-3.0303
2019-01-10,-27.5
2019-01-23,-0.8621
2019-02-06,13.913
2019-02-07,-4.5802
2019-02-13,0.0
2019-02-25,10.0
2019-03-11,-9.0909
2019-03-21,20.0
2019-04-03,33.3333
2019-04-09,-35.0
2019-04-16,46.1538
2019-04-23,-31.5789
2019-05-14,0.0
2019-05-16,0.0
2019-05-30,0.0
2019-06-12,0.0
2019-06-18,0.0
2019-06-25,0.0
2019-08-01,3.8462
2019-08-02,0.0
2019-08-07,0.0
2019-09-12,0.0
2019-10-01,0.0
2019-10-23,0.0
2019-11-07,11.1111
2019-11-08,-10.0
2019-11-21,0.0
2019-11-22,0.0
2019-12-13,0.0
2019-12-30,0.0
2019-12-31,70.3704
2020-01-07,-21.7391
2020-01-10,-22.2222
2020-01-15,60.3571
2020-01-21,-19.8218
2020-02-18,5.5556
2020-02-19,0.0
2020-03-06,-23.6842
2020-03-18,3.4483
2020-03-19,0.0
2020-04-15,0.0
2020-04-28,-6.6667
2020-05-08,3.5714
2020-06-02,0.0
2020-06-05,20.6897
2020-06-08,28.5714
2020-06-22,11.1111
2020-06-23,58.0
2020-07-10,-11.3924
2020-07-21,0.0
2020-07-24,0.0
2020-07-27,-20.0
2020-07-29,1.7856999999999998
2020-07-30,0.0
