ticker,SITE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-01,-9.3462
2019-05-02,-2.2128
2019-05-03,6.4030000000000005
2019-05-06,1.4808
2019-05-07,-0.031
2019-05-08,-2.6242
2019-05-09,2.3282
2019-05-10,0.8259
2019-05-13,-3.7558
2019-05-14,3.5651
2019-05-15,2.4965
2019-05-16,0.9985
2019-05-17,-2.0671
2019-05-20,0.0459
2019-05-21,1.6511
2019-05-22,-3.1584
2019-05-23,0.2174
2019-05-24,0.7283
2019-05-28,2.5538
2019-05-29,-0.9451
2019-05-30,-1.3327
2019-05-31,-0.4298
2019-06-03,0.4779
2019-06-04,2.7923
2019-06-05,0.7015
2019-06-06,1.3338999999999999
2019-06-07,0.5119
2019-06-10,1.3242
2019-06-11,-5.0697
2019-06-12,-0.9531
2019-06-13,2.3675
2019-06-14,-2.8051
2019-06-17,0.1535
2019-06-18,2.6364
2019-06-19,2.4492
2019-06-20,-0.7872
2019-06-21,-1.1901
2019-06-24,-0.5204
2019-06-25,2.7055
2019-06-26,-1.3244
2019-06-27,1.6519
2019-06-28,0.5514
2019-07-01,0.8369
2019-07-02,-1.5741
2019-07-03,1.0468
2019-07-05,0.0
2019-07-08,-2.1583
2019-07-09,-1.3382
2019-07-10,-1.0583
2019-07-11,0.3465
2019-07-12,2.7774
2019-07-15,0.3652
2019-07-16,0.9315
2019-07-17,-0.4614
2019-07-18,-0.3911
2019-07-19,-1.4543
2019-07-22,-2.8926
2019-07-23,1.5198
2019-07-24,5.9281
2019-07-25,2.2894
2019-07-26,1.0086
2019-07-29,-6.1961
2019-07-30,0.2479
2019-07-31,7.4473
2019-08-01,-2.3826
2019-08-02,1.7751000000000001
2019-08-05,-2.9977
2019-08-06,4.2843
2019-08-07,0.6735
2019-08-08,3.0372
2019-08-09,-1.0648
2019-08-12,0.1313
2019-08-13,0.249
2019-08-14,-4.9294
2019-08-15,1.0728
2019-08-16,1.0886
2019-08-19,1.2519
2019-08-20,-0.452
2019-08-21,1.3221
2019-08-22,1.5685
2019-08-23,-2.5824
2019-08-26,1.4786000000000001
2019-08-27,-0.8139
2019-08-28,0.9794
2019-08-29,2.4509
2019-08-30,0.0384
2019-09-03,-4.2967
2019-09-04,-0.2672
2019-09-05,2.5723000000000003
2019-09-06,0.6139
2019-09-09,1.6747
2019-09-10,-2.1706
2019-09-11,3.4978
2019-09-12,-1.1602000000000001
2019-09-13,0.8676
2019-09-16,-0.936
2019-09-17,1.2768
2019-09-18,0.706
2019-09-19,-2.5914
2019-09-20,-4.2797
2019-09-23,-1.195
2019-09-24,-0.5571
2019-09-25,2.774
2019-09-26,-0.9573
2019-09-27,-2.1479
2019-09-30,1.5503
2019-10-01,-2.3912
2019-10-02,-0.955
2019-10-03,-0.8385
2019-10-04,0.5919
2019-10-07,0.9807
2019-10-08,-1.97
2019-10-09,0.9199
2019-10-10,0.589
2019-10-11,3.6665
2019-10-14,-0.2421
2019-10-15,1.7795
2019-10-16,0.2914
2019-10-17,3.6846
2019-10-18,0.1656
2019-10-21,-0.2289
2019-10-22,1.9245
2019-10-23,-0.1626
2019-10-24,-0.6388
2019-10-25,0.7437
2019-10-28,1.1136
2019-10-29,-0.7672
2019-10-30,9.2281
2019-10-31,0.5366
2019-11-01,1.692
2019-11-04,-0.335
2019-11-05,0.7059
2019-11-06,1.1794
2019-11-07,-0.066
2019-11-08,0.1981
2019-11-11,1.23
2019-11-12,-0.7594
2019-11-13,-0.0328
2019-11-14,-0.8201
2019-11-15,-0.5733
2019-11-18,1.1089
2019-11-19,-1.1735
2019-11-20,-1.5648
2019-11-21,-2.2548
2019-11-22,0.4037
2019-11-25,3.2051
2019-11-26,0.4341
2019-11-27,-0.0222
2019-11-29,-1.6074000000000002
2019-12-02,-1.1492
2019-12-03,0.4103
