ticker,BGMD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-11-26,8.1395
2014-11-28,1.0753
2014-12-01,3.6835
2014-12-02,-5.5791
2014-12-03,-4.2379999999999995
2014-12-04,2.1277
2014-12-05,-11.1111
2014-12-08,-7.5
2014-12-09,-12.1284
2014-12-10,-7.7278
2014-12-11,7.1667
2014-12-12,-6.6874
2014-12-15,-9.1042
2014-12-16,6.3488
2014-12-17,3.4483
2014-12-18,11.625
2014-12-19,-1.4558
2014-12-22,3.0871
2014-12-23,-5.8791
2014-12-24,-0.9955
2014-12-26,4.1009
2014-12-29,-3.0303
2014-12-30,62.5
2014-12-31,-11.3462
2015-01-02,12.7983
2015-01-05,-3.8462
2015-01-06,1.875
2015-01-07,-3.3129
2015-01-08,-9.7462
2015-01-09,-7.7615
2015-01-12,-2.439
2015-01-13,-1.25
2015-01-14,2.5316
2015-01-15,0.0
2015-01-16,4.9383
2015-01-20,1.1764999999999999
2015-01-21,29.8837
2015-01-22,15.4879
2015-01-23,-1.1919
2015-01-26,14.5729
2015-01-27,5.4524
2015-01-28,25.974
2015-01-29,11.3402
2015-01-30,-1.8519
2015-02-02,-3.7736
2015-02-03,-8.4314
2015-02-04,-3.6403
2015-02-05,-3.3333
2015-02-06,-12.6437
2015-02-09,15.7895
2015-02-10,1.1364
2015-02-11,-5.0351
2015-02-12,3.6456
2015-02-13,0.4566
2015-02-17,-1.1364
2015-02-18,-4.8635
2015-02-19,2.6807
2015-02-20,-3.5004999999999997
2015-02-23,-1.2346
2015-02-24,-3.7037
2015-02-25,-10.1282
2015-02-26,5.9914
2015-02-27,-3.7685
2015-03-02,3.4703
2015-03-03,-1.5291000000000001
2015-03-04,-3.3202
2015-03-05,22.1049
2015-03-06,4.6512
2015-03-09,-3.3333
2015-03-10,1.1494
2015-03-11,-4.5455
2015-03-12,5.3571
2015-03-13,-0.565
2015-03-16,-3.4091
2015-03-17,-5.8824
2015-03-18,5.0
2015-03-19,0.0
2015-03-20,-5.9524
2015-03-23,1.3054000000000001
2015-03-24,14.9551
2015-03-25,-8.5326
2015-03-26,9.3286
2015-03-27,8.1522
2015-03-30,-4.5226
2015-03-31,-14.7368
2015-04-01,-4.9383
2015-04-02,-1.2987
2015-04-06,2.6316
2015-04-07,10.2564
2015-04-08,-5.7413
2015-04-09,-0.0771
2015-04-10,-2.4691
2015-04-13,3.7975
2015-04-14,-2.439
2015-04-15,2.5
2015-04-16,-1.1357
2015-04-17,-0.0848
2015-04-20,-3.6034
2015-04-21,2.4574
2015-04-22,-2.5
2015-04-23,-7.5641
2015-04-24,4.4383
2015-04-27,-3.0544
2015-04-28,-1.3699
2015-04-29,0.0174
2015-04-30,-2.6384
2015-05-01,8.736
2015-05-04,2.3119
2015-05-05,-5.7292
2015-05-06,-4.7344
2015-05-07,5.6388
2015-05-08,3.1081
2015-05-11,5.4145
2015-05-12,-6.1543
2015-05-13,-9.9114
2015-05-14,-11.6176
2015-05-15,10.6489
2015-05-18,-2.2368
2015-05-19,0.7499
2015-05-20,-2.2901
2015-05-21,-3.125
2015-05-22,3.498
2015-05-26,2.5225999999999997
2015-05-27,1.8431
2015-05-28,-2.9851
2015-05-29,3.0769
2015-06-01,1.6418
2015-06-02,2.6432
2015-06-03,-5.2933
2015-06-04,6.8731
2015-06-05,7.2792
2015-06-08,-7.1146
2015-06-09,2.1277
2015-06-10,0.2778
2015-06-11,-1.385
2015-06-12,-3.0636
2015-06-15,-5.8227
2015-06-16,0.1538
2015-06-17,-2.3041
2015-06-18,-4.0881
2015-06-19,0.2152
2015-06-22,-0.5112
2015-06-23,9.3413
2015-06-24,-5.0376
2015-06-25,-1.8211
2015-06-26,-3.6895
2015-06-29,-0.5233
2015-06-30,-7.4074
2015-07-01,3.6364
2015-07-02,-3.5088
2015-07-06,7.2727
2015-07-07,-18.6653
2015-07-08,-11.4353
2015-07-09,-7.6471
2015-07-10,-2.5478
