ticker,JNCE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-03-05,-1.7316
2019-03-06,-3.304
2019-03-07,24.1458
2019-03-08,-2.5688
2019-03-11,3.3898
2019-03-12,18.5792
2019-03-13,5.53
2019-03-14,-3.7846
2019-03-15,3.9334
2019-03-18,-3.9301
2019-03-19,3.6364
2019-03-20,-1.0234
2019-03-21,-3.8405
2019-03-22,-7.6805
2019-03-25,1.9967000000000001
2019-03-26,-2.1207
2019-03-27,-2.5
2019-03-28,5.2991
2019-03-29,0.6494
2019-04-01,2.5806
2019-04-02,5.8176
2019-04-03,0.0
2019-04-04,-5.7949
2019-04-05,3.1546
2019-04-08,0.6116
2019-04-09,-3.0395
2019-04-10,-0.7837
2019-04-11,-2.2117
2019-04-12,0.3231
2019-04-15,-5.475
2019-04-16,5.2811
2019-04-17,-9.2233
2019-04-18,-0.713
2019-04-22,-2.1544
2019-04-23,5.6881
2019-04-24,0.0
2019-04-25,-3.2986
2019-04-26,3.9497
2019-04-29,1.209
2019-04-30,-3.0717
2019-05-01,-1.2324
2019-05-02,-4.2781
2019-05-03,7.8212
2019-05-06,2.5907
2019-05-07,-3.0303
2019-05-08,-3.2986
2019-05-09,0.1795
2019-05-10,5.7348
2019-05-13,-8.8136
2019-05-14,-3.3457
2019-05-15,-0.5769
2019-05-16,-0.9671
2019-05-17,-4.8828
2019-05-20,-3.2854
2019-05-21,7.6433
2019-05-22,0.0
2019-05-23,-2.5641
2019-05-24,4.8583
2019-05-28,-0.3861
2019-05-29,-4.4574
2019-05-30,-6.6937
2019-05-31,-3.2609
2019-06-03,0.0
2019-06-04,2.4718999999999998
2019-06-05,-3.2895
2019-06-06,0.0
2019-06-07,2.9478
2019-06-10,-3.9648
2019-06-11,-1.3761
2019-06-12,3.7209
2019-06-13,3.3632
2019-06-14,-3.9046
2019-06-17,14.447
2019-06-18,-4.7337
2019-06-19,0.6211
2019-06-20,-2.4691
2019-06-21,0.8439
2019-06-24,-6.4854
2019-06-25,-0.8949
2019-06-26,-2.2573
2019-06-27,8.0831
2019-06-28,5.7692
2019-07-01,-0.404
2019-07-02,-3.4483
2019-07-03,-2.9412000000000003
2019-07-05,-1.0823
2019-07-08,-5.6893
2019-07-09,0.464
2019-07-10,-1.6166
2019-07-11,5.3991
2019-07-12,-1.1136
2019-07-15,-3.6036
2019-07-16,0.7009
2019-07-17,-1.1601
2019-07-18,-1.1737
2019-07-19,-1.9002
2019-07-22,0.9685
2019-07-23,-1.9184999999999999
2019-07-24,10.5134
2019-07-25,1.5487
2019-07-26,6.1002
2019-07-29,-1.8479999999999999
2019-07-30,1.6736
2019-07-31,-1.4403000000000001
2019-08-01,-1.6701000000000001
2019-08-02,-9.3418
2019-08-05,-6.089
2019-08-06,0.2494
2019-08-07,0.4975
2019-08-08,3.4653
2019-08-09,0.4785
2019-08-12,2.1429
2019-08-13,-0.9324
2019-08-14,-3.2941
2019-08-15,-4.1363
2019-08-16,0.5076
2019-08-19,-2.7778
2019-08-20,-3.3766
2019-08-21,1.8817
2019-08-22,1.847
2019-08-23,-5.1813
2019-08-26,1.9125999999999999
2019-08-27,-2.9491
2019-08-28,0.8287
2019-08-29,3.0137
2019-08-30,0.266
2019-09-03,-7.9576
2019-09-04,-2.8818
2019-09-05,4.1543
2019-09-06,0.8547
2019-09-09,7.9096
2019-09-10,0.2618
2019-09-11,-2.6109999999999998
2019-09-12,-4.2895
2019-09-13,-1.4006
2019-09-16,-2.2727
2019-09-17,-0.8721
2019-09-18,0.5865
2019-09-19,-0.5831
2019-09-20,-0.8798
2019-09-23,2.3669000000000002
2019-09-24,3.4682
2019-09-25,-0.5587
2019-09-26,-2.809
2019-09-27,-1.1561
2019-09-30,-2.6316
2019-10-01,-5.1051
2019-10-02,-6.0127
2019-10-03,0.0
2019-10-04,-5.3872
2019-10-07,13.879
2019-10-08,-5.625
2019-10-09,2.3179
2019-10-10,6.1489
2019-10-11,-0.6098
2019-10-14,0.9202
2019-10-15,1.8237
2019-10-16,3.5821
