ticker,CAFI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-05-26,16.6667
2020-05-27,-28.4286
2020-05-28,-0.1996
2020-05-29,0.0
2020-06-01,30.0
2020-06-02,-33.8462
2020-06-04,58.1395
2020-06-05,2.9412000000000003
2020-06-08,-35.7143
2020-06-09,0.0
2020-06-10,66.6667
2020-06-11,-38.6667
2020-06-12,8.6957
2020-06-15,19.8
2020-06-16,-20.7012
2020-06-18,5.2632
2020-06-19,-5.0
2020-06-22,-13.6842
2020-06-25,70.4878
2020-06-29,-42.4893
2020-07-01,71.393
2020-07-09,-41.6546
2020-07-10,61.6915
2020-07-16,-23.0769
2020-07-29,-19.6
2020-07-30,56.7164
2020-07-31,0.0
