ticker,NTUS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-03-08,1.0468
2007-03-09,1.5234999999999999
2007-03-12,0.8403
2007-03-13,1.4285999999999999
2007-03-14,0.7042
2007-03-15,-0.9324
2007-03-16,-2.0588
2007-03-19,2.4024
2007-03-20,-0.176
2007-03-21,1.8801
2007-03-22,1.5571000000000002
2007-03-23,1.6468
2007-03-26,-0.8939
2007-03-27,0.6764
2007-03-28,-0.224
2007-03-29,-0.7856
2007-03-30,0.509
2007-04-02,0.0
2007-04-03,0.2251
2007-04-04,-1.6282999999999999
2007-04-05,0.4566
2007-04-09,-1.0795
2007-04-10,-2.1252
2007-04-11,-0.8216
2007-04-12,0.5917
2007-04-13,-0.0588
2007-04-16,0.9417
2007-04-17,1.4577
2007-04-18,-0.2299
2007-04-19,-0.2304
2007-04-20,4.5035
2007-04-23,-0.442
2007-04-24,1.2764
2007-04-25,1.8082
2007-04-26,0.915
2007-04-27,0.0
2007-04-30,-5.1733
2007-05-01,0.8999
2007-05-02,1.0591
2007-05-03,-8.2736
2007-05-04,-1.8641
2007-05-07,-2.7574
2007-05-08,-3.1506
2007-05-09,-2.8627000000000002
2007-05-10,5.0234
2007-05-11,2.4234999999999998
2007-05-14,-0.1868
2007-05-15,-0.1248
2007-05-16,-1.5615
2007-05-17,-1.2690000000000001
2007-05-18,2.3779
2007-05-21,0.5022
2007-05-22,1.3117
2007-05-23,-3.021
2007-05-24,-0.3179
2007-05-25,-0.3189
2007-05-29,-0.5758
2007-05-30,-0.5792
2007-05-31,1.4239
2007-06-01,2.1698
2007-06-04,0.4997
2007-06-05,-0.2486
2007-06-06,-1.1838
2007-06-07,-0.3783
2007-06-08,0.1899
2007-06-11,-0.5685
2007-06-12,-1.3342
2007-06-13,2.5113
2007-06-14,0.8166
2007-06-15,2.8037
2007-06-18,-0.7273
2007-06-19,-2.1368
2007-06-20,0.5614
2007-06-21,-1.6749
2007-06-22,0.0631
2007-06-25,-1.1349
2007-06-26,-0.3827
2007-06-27,3.201
2007-06-28,-1.1166
2007-06-29,-0.1255
2007-07-02,1.3191
2007-07-03,0.558
2007-07-05,-1.3564
2007-07-06,-0.125
2007-07-09,0.5006
2007-07-10,-1.9925000000000002
2007-07-11,1.7789000000000001
2007-07-12,-0.1248
2007-07-13,1.0
2007-07-16,-2.1658
2007-07-17,0.3795
2007-07-18,-1.0712
2007-07-19,-0.0637
2007-07-20,-1.912
2007-07-23,-0.9097
2007-07-24,-2.2295
2007-07-25,2.6828
2007-07-26,-0.0653
2007-07-27,-1.9607999999999999
2007-07-30,-0.4
2007-07-31,2.1419
2007-08-01,4.0629
2007-08-02,-5.2267
2007-08-03,-3.4551
2007-08-06,1.1012
2007-08-07,-3.3356
2007-08-08,8.8028
2007-08-09,1.6181
2007-08-10,2.1011
2007-08-13,-4.3037
2007-08-14,-2.6076
2007-08-15,-0.0669
2007-08-16,5.6263
2007-08-17,1.5853000000000002
2007-08-20,-0.6866
2007-08-21,0.3771
2007-08-22,2.1916
2007-08-23,1.2255
2007-08-24,1.8765
2007-08-27,-2.1390000000000002
2007-08-28,-2.3072
2007-08-29,0.808
2007-08-30,-0.5549
2007-08-31,-0.248
2007-09-04,0.9944
2007-09-05,-0.4308
2007-09-06,-3.3375
2007-09-07,-1.9182000000000001
2007-09-10,-0.5867
2007-09-11,0.6557
2007-09-12,0.0651
2007-09-13,-3.2552
2007-09-14,0.2692
2007-09-17,-1.0067
2007-09-18,0.9492
2007-09-19,0.5373
2007-09-20,-1.336
2007-09-21,-0.0677
2007-09-24,-3.5907999999999998
2007-09-25,0.9136
2007-09-26,1.1142
2007-09-27,9.9862
2007-09-28,-0.1879
2007-10-01,4.266
2007-10-02,0.1798
2007-10-03,-2.702
2007-10-04,1.8519
2007-10-05,2.9091
2007-10-08,0.0
2007-10-09,-0.1767
2007-10-10,3.3628
2007-10-11,0.8562
2007-10-12,0.1132
2007-10-15,-1.6393
2007-10-16,-1.4368
2007-10-17,-0.1166
2007-10-18,-1.2843
2007-10-19,-2.1881
2007-10-22,1.2092
2007-10-23,-0.3584
2007-10-24,-1.0791
2007-10-25,-0.0606
2007-10-26,5.7611
2007-10-29,1.4908000000000001
2007-10-30,-0.0565
2007-10-31,2.3177
2007-11-01,-10.3867
2007-11-02,0.1233
2007-11-05,-0.8005
2007-11-06,2.3588
2007-11-07,-3.7599
2007-11-08,1.4493
2007-11-09,0.3106
2007-11-12,-0.8669
2007-11-13,0.4997
2007-11-14,-0.9944
2007-11-15,-0.8788
2007-11-16,-1.2033
2007-11-19,-2.1795
2007-11-20,3.4731
2007-11-21,-0.6333
2007-11-23,1.5934
2007-11-26,-1.6311
2007-11-27,5.8673
2007-11-28,1.3855
2007-11-29,1.1289
2007-11-30,-0.8813
2007-12-03,5.8091
2007-12-04,-1.7927
2007-12-05,1.4261
2007-12-06,1.7435
2007-12-07,4.1459
2007-12-10,-6.104
2007-12-11,0.6783
2007-12-12,4.548
2007-12-13,-0.8593
2007-12-14,-2.4377
2007-12-17,-1.8878
2007-12-18,-0.4527
2007-12-19,0.3411
2007-12-20,6.3456
2007-12-21,4.1556
2007-12-24,-0.7161
2007-12-26,-0.4637
2007-12-27,-0.6729
2007-12-28,-1.9802
2007-12-31,2.8708
2008-01-02,-2.3773
2008-01-03,-0.7941
2008-01-04,-0.3735
2008-01-07,0.5892
2008-01-08,3.1416
2008-01-09,0.6195
2008-01-10,-0.4105
2008-01-11,0.3606
2008-01-14,-3.3368
2008-01-15,-1.009
2008-01-16,0.6438
2008-01-17,0.0533
2008-01-18,-3.0368
2008-01-22,-3.3516
2008-01-23,2.3877
2008-01-24,-2.1099
2008-01-25,0.5105
2008-01-28,0.8465
2008-01-29,0.1119
2008-01-30,-0.7826
2008-01-31,-3.0986
2008-02-01,1.1628
2008-02-04,0.7471
2008-02-05,-1.4261
2008-02-06,-2.1991
2008-02-07,1.5385
2008-02-08,-1.049
2008-02-11,1.119
2008-02-12,7.8043
2008-02-13,-0.9724
2008-02-14,-1.2548
2008-02-15,-0.3867
2008-02-19,2.1076
2008-02-20,0.4345
2008-02-21,3.1368
2008-02-22,-0.6293
2008-02-25,1.2137
2008-02-26,-3.0761
2008-02-27,5.2179
2008-02-28,-1.227
2008-02-29,-1.7081
2008-03-03,1.0532
2008-03-04,-0.8338
2008-03-05,2.9427
2008-03-06,-2.9607
2008-03-07,-0.3682
2008-03-10,-4.3823
2008-03-11,2.9266
2008-03-12,-10.0858
2008-03-13,0.537
2008-03-14,3.8576
2008-03-17,-0.8571
2008-03-18,2.9395
2008-03-19,-0.4479
2008-03-20,-0.225
2008-03-24,1.6911
2008-03-25,-0.6652
2008-03-26,1.0045
2008-03-27,0.221
2008-03-28,-0.1654
2008-03-31,0.2209
2008-04-01,1.2121
2008-04-02,0.2722
2008-04-03,-0.8143
2008-04-04,3.1746
2008-04-07,2.2812
2008-04-08,0.9855
2008-04-09,-0.7191
2008-04-10,1.0864
