ticker,BHE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-03-20,-1.9847000000000001
2017-03-21,-2.4922
2017-03-22,1.7572
2017-03-23,0.471
2017-03-24,0.0
2017-03-27,0.4688
2017-03-28,-0.4666
2017-03-29,-0.3125
2017-03-30,0.3135
2017-03-31,-0.625
2017-04-03,-1.5723
2017-04-04,0.1597
2017-04-05,-1.5949
2017-04-06,0.9724
2017-04-07,-0.6421
2017-04-10,-0.4847
2017-04-11,0.974
2017-04-12,-1.1254
2017-04-13,-1.3008
2017-04-17,1.6474
2017-04-18,0.3241
2017-04-19,0.6462
2017-04-20,3.0498
2017-04-21,-3.4268
2017-04-24,2.0968
2017-04-25,1.1058
2017-04-26,-0.1563
2017-04-27,1.0955
2017-04-28,-1.8576000000000001
2017-05-01,1.2618
2017-05-02,-0.7788
2017-05-03,-0.6279
2017-05-04,0.7899
2017-05-05,0.3135
2017-05-08,0.4688
2017-05-09,0.311
2017-05-10,-0.155
2017-05-11,0.0
2017-05-12,-0.3106
2017-05-15,0.4673
2017-05-16,0.4651
2017-05-17,-4.321
2017-05-18,-0.6452
2017-05-19,1.1364
2017-05-22,1.7657
2017-05-23,0.3155
2017-05-24,0.1572
2017-05-25,0.9419
2017-05-26,-0.4666
2017-05-30,1.25
2017-05-31,-0.3086
2017-06-01,2.0124
2017-06-02,1.6692
2017-06-05,-0.7463
2017-06-06,0.0
2017-06-07,0.1504
2017-06-08,2.4024
2017-06-09,-1.173
2017-06-12,0.4451
2017-06-13,0.4431
2017-06-14,-0.8824
2017-06-15,-0.2967
2017-06-16,-1.1905000000000001
2017-06-19,0.0
2017-06-20,-1.3554
2017-06-21,0.0
2017-06-22,-0.3053
2017-06-23,2.2971
2017-06-26,0.7485
2017-06-27,-3.2689
2017-06-28,2.1505
2017-06-29,-1.8045
2017-06-30,-1.072
2017-07-03,1.0836
2017-07-05,-1.3783
2017-07-06,-0.4658
2017-07-07,1.4041000000000001
2017-07-10,0.9231
2017-07-11,0.0
2017-07-12,1.9817
2017-07-13,-0.4484
2017-07-14,1.2012
2017-07-17,0.4451
2017-07-18,0.5908
2017-07-19,2.79
2017-07-20,-5.0
2017-07-21,0.7519
2017-07-24,0.8955
2017-07-25,1.4793
2017-07-26,-1.895
2017-07-27,-0.1486
2017-07-28,-1.0417
2017-07-31,1.203
2017-08-01,0.4458
2017-08-02,-0.8876
2017-08-03,-1.3433
2017-08-04,-0.3026
2017-08-07,-0.4552
2017-08-08,-0.3049
2017-08-09,-0.6116
2017-08-10,-0.7692
2017-08-11,-0.9302
2017-08-14,1.4085
2017-08-15,-1.6975
2017-08-16,0.9419
2017-08-17,-2.6439
2017-08-18,0.1597
2017-08-21,-0.1595
2017-08-22,1.4377
2017-08-23,-0.4724
2017-08-24,-0.3165
2017-08-25,1.1111
2017-08-28,0.0
2017-08-29,-0.157
2017-08-30,0.9434
2017-08-31,1.2461
2017-09-01,1.0769
2017-09-05,-1.2177
2017-09-06,-1.0786
2017-09-07,-0.4673
2017-09-08,0.0
2017-09-11,1.8779
2017-09-12,0.1536
2017-09-13,-0.6135
2017-09-14,0.0
2017-09-15,0.6173
2017-09-18,1.6871
2017-09-19,1.3575
2017-09-20,-0.744
2017-09-21,0.0
2017-09-22,0.7496
2017-09-25,-0.8929
2017-09-26,1.3514
2017-09-27,2.0741
2017-09-28,0.2903
2017-09-29,-1.1577
2017-10-02,2.489
2017-10-03,0.5714
2017-10-04,0.7102
2017-10-05,0.2821
2017-10-06,-0.5626
2017-10-09,0.1414
2017-10-10,0.1412
2017-10-11,-0.141
2017-10-12,0.2825
2017-10-13,0.0
2017-10-16,0.0
2017-10-17,-0.5634
2017-10-18,0.8499
2017-10-19,-12.9213
2017-10-20,-1.6129
2017-10-23,0.0
2017-10-24,-0.6557
2017-10-25,1.3201
2017-10-26,-0.8143
2017-10-27,1.1494
2017-10-30,-0.8117
2017-10-31,1.3093
2017-11-01,-2.5848
2017-11-02,-0.4975
2017-11-03,-1.5
2017-11-06,1.3536000000000001
2017-11-07,-2.3372
2017-11-08,1.1966
2017-11-09,1.1824
2017-11-10,0.6678
2017-11-13,-0.6633
2017-11-14,0.0
2017-11-15,-1.1686
2017-11-16,1.5203
2017-11-17,1.4975
2017-11-20,0.4918
2017-11-21,1.6313
2017-11-22,-1.1236
2017-11-24,0.8117
2017-11-27,-0.6441
2017-11-28,0.3241
2017-11-29,0.0
2017-11-30,-1.454
2017-12-01,-1.6393
2017-12-04,0.0
2017-12-05,-1.0
2017-12-06,-0.6734
2017-12-07,-0.1695
2017-12-08,0.0
2017-12-11,0.0
2017-12-12,0.3396
2017-12-13,0.0
2017-12-14,-1.0152
2017-12-15,1.7094
2017-12-18,1.6806999999999999
2017-12-19,-2.4793
2017-12-20,1.6949
2017-12-21,-0.1667
2017-12-22,-1.1686
2017-12-26,-1.0135
2017-12-27,-0.1706
2017-12-28,-0.3419
2017-12-29,-0.1715
2018-01-02,-0.1718
2018-01-03,1.8933
2018-01-04,0.1689
2018-01-05,1.0118
2018-01-08,0.5008
2018-01-09,0.8306
2018-01-10,-1.318
2018-01-11,1.0017
2018-01-12,1.3223
2018-01-16,-1.1419
2018-01-17,2.1452
2018-01-18,0.1616
2018-01-19,-0.1613
2018-01-22,-3.231
2018-01-23,-1.1686
2018-01-24,-1.8580999999999999
2018-01-25,-1.5491000000000001
2018-01-26,-0.1748
2018-01-29,-0.8757
2018-01-30,1.7668
2018-01-31,0.5208
2018-02-01,0.8636
2018-02-02,-1.8836
2018-02-05,-3.6649000000000003
2018-02-06,1.087
2018-02-07,-0.3584
2018-02-08,5.2158
2018-02-09,0.3419
2018-02-12,-0.6814
2018-02-13,-1.0292
2018-02-14,1.2132
2018-02-15,1.8836
2018-02-16,-0.1681
2018-02-20,1.1785
2018-02-21,-0.8319
2018-02-22,0.1678
2018-02-23,0.5025
2018-02-26,1.5
2018-02-27,-0.6568
2018-02-28,-0.8264
2018-03-01,-1.1667
2018-03-02,1.6863000000000001
2018-03-05,0.8292
2018-03-06,1.3158
2018-03-07,0.8117
2018-03-08,1.1272
2018-03-09,1.2739
2018-03-12,1.1006
2018-03-13,-1.0886
2018-03-14,-1.4151
2018-03-15,0.9569
2018-03-16,1.5798
2018-03-19,-1.2442
2018-03-20,-0.1575
2018-03-21,-0.1577
2018-03-22,-2.3697
2018-03-23,-2.589
2018-03-26,1.6611
2018-03-27,-2.9412000000000003
2018-03-28,-0.8418
2018-03-29,1.8771
2018-04-02,-2.3451
2018-04-03,1.3721999999999999
2018-04-04,0.3384
2018-04-05,-0.1686
2018-04-06,-1.6892
